file,fps,frame_index,method,blind_sigma_dn,roi_mean_dn,roi_highpass_noise_sigma_dn,mae_to_temporal_reference_dn,gradient_mae_to_temporal_reference
Video_exposure_50ms_w1920_h1200_pMono10_f20.raw,20,10,blind_bm3d,2.090302,158.687454,0.041241,0.517809,2.343981
Video_exposure_50ms_w1920_h1200_pMono10_f20.raw,20,10,ptc_vst_bm3d,2.090302,158.682480,0.016401,0.525612,2.512458
Video_exposure_60ms_w1920_h1200_pMono10_f17.raw,17,10,input,2.095085,175.588974,1.922924,1.580204,5.766747
Video_exposure_60ms_w1920_h1200_pMono10_f17.raw,17,10,temporal_trimmed_mean,2.095085,175.587082,0.681657,0.000000,0.000000
Video_exposure_60ms_w1920_h1200_pMono10_f17.raw,17,10,blind_bm3d,2.095085,175.591934,0.073364,0.572735,2.514026
Video_exposure_60ms_w1920_h1200_pMono10_f17.raw,17,10,ptc_vst_bm3d,2.095085,175.586319,0.020089,0.585967,2.803867
Video_exposure_70ms_w1920_h1200_pMono10_f14.raw,14,10,input,2.096844,206.821793,2.184009,1.767265,6.368945
Video_exposure_70ms_w1920_h1200_pMono10_f14.raw,14,10,temporal_trimmed_mean,2.096844,206.820099,0.814586,0.000000,0.000000
Video_exposure_70ms_w1920_h1200_pMono10_f14.raw,14,10,blind_bm3d,2.096844,206.822006,0.186770,0.668341,2.727413
Video_exposure_70ms_w1920_h1200_pMono10_f14.raw,14,10,ptc_vst_bm3d,2.096844,206.817810,0.026468,0.692009,3.332371
Video_exposure_80ms_w1920_h1200_pMono10_f12.raw,12,10,input,2.110201,254.142776,2.525991,2.022431,7.187438
Video_exposure_80ms_w1920_h1200_pMono10_f12.raw,12,10,temporal_trimmed_mean,2.110201,254.141327,1.006944,0.000000,0.000000
Video_exposure_80ms_w1920_h1200_pMono10_f12.raw,12,10,blind_bm3d,2.110201,254.144287,0.487648,0.827674,2.968650
Video_exposure_80ms_w1920_h1200_pMono10_f12.raw,12,10,ptc_vst_bm3d,2.110201,254.138565,0.036558,0.850155,4.121157
Video_exposure_90ms_w1920_h1200_pMono10_f11.raw,11,10,input,3.139172,303.103088,2.848745,2.255329,7.931799
Video_exposure_90ms_w1920_h1200_pMono10_f11.raw,11,10,temporal_trimmed_mean,3.139172,303.101532,1.199981,0.000000,0.000000
Video_exposure_90ms_w1920_h1200_pMono10_f11.raw,11,10,blind_bm3d,3.139172,303.106720,0.176093,0.953415,4.230496
Video_exposure_90ms_w1920_h1200_pMono10_f11.raw,11,10,ptc_vst_bm3d,3.139172,303.099915,0.049045,1.005430,4.870694
Video_20260712095138103_w1920_h1200_pMono10_f3.raw,3,10,input,5.351478,406.745270,5.805330,4.758589,17.497503
Video_20260712095138103_w1920_h1200_pMono10_f3.raw,3,10,temporal_trimmed_mean,5.351478,406.738586,1.926974,0.000000,0.000000
Video_20260712095138103_w1920_h1200_pMono10_f3.raw,3,10,blind_bm3d,5.351478,406.743622,0.575468,1.791623,6.487689
Video_20260712095138103_w1920_h1200_pMono10_f3.raw,3,10,ptc_vst_bm3d,5.351478,406.724518,0.205366,1.675334,6.756507
